,station,x,y,temperature
0,anh,605075.10,4208474.70,15.07
1,bdl,590134.70,4227040.10,14.60
2,cll,600858.70,4214644.10,14.78
3,mrz,575432.50,4209227.70,15.59
4,mal,594757.50,4211123.30,16.10
5,pts,597238.30,4211183.70,14.89
6,emm,610598.80,4215917.60,14.33
7,jer,615024.30,4212414.20,14.39
8,frp,619475.50,4208005.70,14.00
9,hol2,624476.90,4208582.20,13.70
10,hll,624614.60,4207543.50,13.61
11,orq2,625994.60,4209807.90,13.60
12,holm,624631.50,4203880.00,13.80
13,bac,625406.50,4203423.60,13.80
14,ori,627377.40,4187715.20,14.20
15,ppt,627213.40,4213060.70,14.27
16,bdt,647500.80,4192114.60,12.80
17,uni,643018.60,4187320.10,12.67
18,old,636491.60,4185281.50,13.30
19,twa,635798.20,4185059.90,13.40
20,oad,628312.50,4185763.10,13.80
21,wci,627243.20,4188117.20,14.20
22,mtb,635780.80,4193802.00,13.50
23,mdmzq,628839.50,4200455.00,14.20
24,swe,629874.30,4233686.10,13.60
25,sus,622318.40,4234477.50,13.70
26,rvb,615105.00,4224350.00,14.38
27,srh,629247.70,4247651.00,13.25
28,sal,623513.40,4218211.20,14.39
