site,x,y
anh,605075.10,4208474.70
bdl,590134.70,4227040.10
cll,600858.70,4214644.10
mrz,575432.50,4209227.70
mal,594757.50,4211123.30
pts,597238.30,4211183.70
emm,610598.80,4215917.60
jer,615024.30,4212414.20
frp,619475.50,4208005.70
hol2,624476.90,4208582.20
hll,624614.60,4207543.50
orq2,625994.60,4209807.90
holm,624631.50,4203880.00
bac,625406.50,4203423.60
ori,627377.40,4187715.20
ppt,627213.40,4213060.70
bdt,647500.80,4192114.60
uni,643018.60,4187320.10
old,636491.60,4185281.50
twa,635798.20,4185059.90
oad,628312.50,4185763.10
wci,627243.20,4188117.20
mtb,635780.80,4193802.00
mdmzq,628839.50,4200455.00
swe,629874.30,4233686.10
sus,622318.40,4234477.50
srh,629247.70,4247651.00
sal,623513.40,4218211.20
cyg,579678.00,4223160.00
hun,582994.82,4223547.67
msl,597578.30,4216762.68
pct,585550.40,4212803.20
flt,579121.90,4214883.00
bet,620980.00,4210523.00
dvi,649512.00,4179437.00
sjr,653005.80,4171637.90
god,580533.21,4219949.69
