,station,x,y,salinity
0,anh,605075.10,4208474.70,0.28
1,snc,580303.50,4226742.30,3.59
2,ibs,577650.90,4223639.00,4.20
3,cyg,579678.00,4223160.00,4.59
4,hun,582994.82,4223547.67,3.50
5,bdl,590134.70,4227040.10,1.56
6,msl,597578.30,4216762.68,0.22
7,cse,600859.10,4214643.60,0.10
8,flt,579121.90,4214883.00,8.78
9,mrz,575432.50,4209227.70,5.97
10,mal,594757.50,4211123.30,0.41
11,sdi,610748.90,4216702.80,0.12
12,blp,612410.90,4210203.70,0.22
13,sjj,615029.00,4212420.90,0.20
14,dsj,616676.60,4208098.20,0.31
15,bet,620980.00,4210523.00,0.24
16,hol2,624476.90,4208582.20,0.22
17,orq2,625994.60,4209807.90,0.18
18,holm,624631.50,4203880.00,0.24
19,bac,625406.50,4203423.60,0.22
20,mdm,628839.50,4200455.00,0.22
21,oh4,625718.90,4194688.90,0.24
22,pri,626573.00,4213393.10,0.16
23,ppt,627213.40,4213060.70,0.14
24,trn,635762.30,4206110.60,0.26
25,sjg,646735.20,4199969.70,0.46
26,bdt,647500.80,4192114.60,0.41
27,dvi,649550.00,4179456.00,0.47
28,sjr,653005.80,4171637.90,0.46
29,orx,642021.80,4186071.20,0.50
30,sga,638981.80,4184006.20,0.60
31,gle,637754.40,4187026.50,0.52
32,old,636491.60,4185281.50,0.57
33,twa,635798.20,4185059.90,0.58
34,oad,628312.50,4185763.10,0.41
35,glc2,627753.00,4186838.80,0.49
36,mtb,635780.80,4193802.00,0.46
37,mdmzq,628839.50,4200455.00,0.21
38,sdc,629664.20,4235427.10,0.11
39,ges,629219.10,4233351.80,0.11
40,swe,629874.30,4233686.10,0.11
41,gss,629727.30,4233179.30,0.11
42,nmr,630666.90,4231648.10,0.08
43,sus,622318.40,4234477.50,0.12
44,sss,623598.20,4238356.20,0.12
45,sut,624348.30,4243212.40,0.12
46,rvb,615105.00,4224350.00,0.14
47,dws,616657.30,4235072.20,0.16
48,lib,615115.00,4233613.00,0.21
49,ucs,612908.60,4237177.10,0.26
50,srh,629247.70,4247651.00,0.11
51,von,621783.20,4292647.40,0.09
52,gys,579253.00,4219416.00,6.74
53,god,580533.21,4219949.69,3.51
