,station,x,y,temperature
0,anh,605075.10,4208474.70,14.15
1,ibs,577650.90,4223639.00,14.20
2,cyg,579678.00,4223160.00,15.90
3,hun,582994.82,4223547.67,14.18
4,bdl,590134.70,4227040.10,14.65
5,msl,597578.30,4216762.68,13.38
6,cse,600859.10,4214643.60,13.50
7,flt,579121.90,4214883.00,14.28
8,mrz,575432.50,4209227.70,14.17
9,mal,594757.50,4211123.30,13.83
10,sdi,610748.90,4216702.80,14.00
11,blp,612410.90,4210203.70,14.00
12,sjj,615029.00,4212420.90,14.10
13,dsj,616676.60,4208098.20,14.40
14,bet,620980.00,4210523.00,14.60
15,hol2,624476.90,4208582.20,14.30
16,orq2,625994.60,4209807.90,14.20
17,holm,624631.50,4203880.00,14.50
18,bac,625406.50,4203423.60,14.10
19,mdm,628839.50,4200455.00,14.30
20,ori,627377.40,4187715.20,15.10
21,oh4,625718.90,4194688.90,14.50
22,mab,634300.20,4194175.00,14.90
23,pri,626573.00,4213393.10,14.10
24,ppt,627213.40,4213060.70,14.00
25,trn,635762.30,4206110.60,14.40
26,rri,643575.20,4202944.90,14.70
27,sjg,646735.20,4199969.70,15.10
28,bdt,647500.80,4192114.60,15.60
29,dvi,649550.00,4179456.00,16.10
30,sjr,653005.80,4171637.90,15.26
31,orx,642021.80,4186071.20,16.30
32,sga,638981.80,4184006.20,15.80
33,gle,637754.40,4187026.50,16.20
34,old,636491.60,4185281.50,15.80
35,twa,635798.20,4185059.90,15.50
36,orm,630537.00,4183977.00,15.60
37,oad,628312.50,4185763.10,15.10
38,glc2,627753.00,4186838.80,15.60
39,wci,627243.20,4188117.20,15.40
40,mab,634300.20,4194175.00,14.90
41,mtb,635780.80,4193802.00,14.30
42,mdmzq,628839.50,4200455.00,14.10
43,sdc,629664.20,4235427.10,14.20
44,ges,629219.10,4233351.80,14.20
45,swe,629874.30,4233686.10,14.00
46,gss,629727.30,4233179.30,14.20
47,nmr,630666.90,4231648.10,14.10
48,sss,623598.20,4238356.20,14.20
49,sut,624348.30,4243212.40,14.20
50,rvb,615105.00,4224350.00,14.13
51,dws,616657.30,4235072.20,14.00
52,lib,615115.00,4233613.00,14.90
53,ucs,612908.60,4237177.10,14.80
54,srh,629247.70,4247651.00,14.19
55,awb,640504.00,4269986.00,13.10
56,afo,654346.14,4277827.00,11.20
57,von,621783.20,4292647.40,14.40
58,wlk,601759.47,4318532.21,13.70
59,gys,579253.00,4219416.00,14.20
60,god,580533.21,4219949.69,14.09
